name,ttm,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalRevenue,"1,068,179,000","1,773,927,000","2,798,490,000","2,487,268,000","1,804,741,000","1,624,232,000","3,165,441,000","3,719,707,000","3,387,614,000","3,151,802,000","2,543,894,000","1,875,162,000","1,894,038,000","2,036,543,000","1,629,658,000","1,224,813,000","800,726,000","620,928,000","515,284,000","510,928,000","826,854,000","631,095,000","564,300,000","636,600,000","517,900,000","387,500,000","325,800,000","329,000,000","315,100,000","239,700,000","190,400,000","238,500,000","171,200,000","155,900,000","153,900,000","160,400,000","168,800,000"
	OperatingRevenue,"1,058,833,000","1,761,714,000","2,785,557,000","2,449,051,000","1,788,758,000","1,610,957,000","3,151,254,000","3,706,297,000","3,374,153,000","3,151,802,000","2,543,894,000","1,875,162,000","1,894,038,000","2,036,543,000","1,629,658,000","1,224,813,000","800,726,000","593,326,000","507,331,000","482,484,000","816,262,000","599,122,000","564,300,000","636,600,000","517,900,000","387,500,000","325,800,000","329,000,000","315,100,000","239,700,000","190,400,000","238,500,000","171,200,000","155,900,000","153,900,000","160,400,000","168,800,000"
CostOfRevenue,"1,235,420,000","1,672,450,000","2,371,389,000","2,236,412,000","1,834,860,000","1,497,392,000","2,311,155,000","2,533,461,000","2,308,391,000","1,750,510,000","1,432,602,000","1,071,959,000","1,011,558,000","1,086,666,000","862,254,000","661,563,000","484,231,000","416,631,000","345,537,000","336,890,000","447,420,000","339,625,000","342,500,000","356,300,000","283,100,000","235,900,000","210,300,000","223,800,000","201,700,000","149,000,000","111,800,000","109,100,000","77,300,000","70,500,000","61,500,000","65,100,000","103,600,000"
GrossProfit,"-167,241,000","101,477,000","427,101,000","250,856,000","-30,119,000","126,840,000","854,286,000","1,186,246,000","1,079,223,000","1,401,292,000","1,111,292,000","803,203,000","882,480,000","949,877,000","767,404,000","563,250,000","316,495,000","204,297,000","169,747,000","174,038,000","379,434,000","291,470,000","221,800,000","280,300,000","234,800,000","151,600,000","115,500,000","105,200,000","113,400,000","90,700,000","78,600,000","129,400,000","93,900,000","85,400,000","92,400,000","95,300,000","65,200,000"
OperatingExpense,"173,849,000","189,158,000","221,883,000","218,786,000","163,049,000","156,452,000","151,010,000","151,044,000","141,485,000","510,916,000","408,781,000","351,407,000","298,948,000","245,932,000","135,085,000","145,964,000","137,289,000","132,086,000","123,516,000","81,838,000","144,364,000","151,631,000","150,400,000","127,300,000","103,100,000","87,100,000","101,300,000","74,500,000","70,100,000","66,000,000","66,700,000","61,800,000","55,600,000","52,600,000","53,600,000","84,300,000","57,300,000"
	SellingGeneralAndAdministration,"154,379,000","167,513,000","194,416,000","200,619,000","151,002,000","146,183,000","134,906,000","135,139,000","126,250,000","107,307,000","91,452,000","81,479,000","59,413,000","57,059,000","47,401,000","51,873,000","41,015,000","37,661,000","41,003,000","20,391,000","15,415,000","11,578,000","14,200,000","11,800,000","9,300,000","9,100,000","8,800,000","8,900,000","6,800,000","6,800,000","13,600,000","6,800,000","4,200,000","6,300,000","11,600,000","34,600,000","4,200,000"
		GeneralAndAdministrativeExpense,,,,,"151,002,000","146,183,000","134,906,000","135,139,000","126,250,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,"151,002,000","146,183,000","134,906,000","135,139,000","126,250,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"19,470,000","21,645,000","27,467,000","18,167,000","12,047,000","10,269,000","16,104,000","15,905,000","15,235,000","16,060,000","15,764,000","12,262,000","9,671,000","1,833,000",,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"387,549,000","315,468,000","262,658,000","236,437,000","210,766,000","146,042,000","101,583,000","96,274,000","94,425,000","82,513,000","61,447,000","87,309,000","110,851,000","110,700,000","89,800,000","72,500,000","61,100,000","77,100,000","50,100,000","48,600,000","47,700,000","40,300,000","41,600,000","41,700,000","37,600,000","34,200,000","38,500,000","40,400,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,"387,549,000","315,468,000","262,658,000","236,437,000","210,766,000","146,042,000","101,583,000","96,274,000","94,425,000","82,513,000","61,447,000","87,309,000","110,851,000","110,700,000","89,800,000","72,500,000","61,100,000","77,100,000","50,100,000","48,600,000","47,700,000","40,300,000","41,600,000","41,700,000","37,600,000","34,200,000","38,500,000","40,400,000"
			DepreciationIncomeStatement,,,,,,,,,,"387,549,000","315,468,000","262,658,000","236,437,000",,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,"-13,903,000","-4,992,000","-6,573,000","-23,726,000","-58,358,000","-7,492,000",,,,,"41,640,000","29,202,000","25,500,000","25,700,000","21,300,000","16,900,000","15,400,000","15,500,000","14,700,000","11,500,000","12,800,000","13,400,000","9,700,000","8,700,000","7,800,000","11,200,000","12,700,000"
OperatingIncome,"-341,090,000","-87,681,000","205,218,000","32,070,000","-193,168,000","-29,612,000","703,276,000","1,035,202,000","937,738,000","890,376,000","702,511,000","451,796,000","583,532,000","703,945,000","632,319,000","417,286,000","179,206,000","72,211,000","46,231,000","92,200,000","235,070,000","139,839,000","71,400,000","153,000,000","131,700,000","64,500,000","14,200,000","30,700,000","43,300,000","24,700,000","11,900,000","67,600,000","38,300,000","32,800,000","38,800,000","11,000,000","7,900,000"
NetNonOperatingInterestIncomeExpense,"-15,955,000","-17,170,000","-15,720,000","-16,248,000","-13,832,000","-19,747,000","-9,202,000","-3,071,000","-4,476,000","-7,273,000","-15,404,000","-15,347,000","-8,525,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"8,222,000","7,304,000","9,468,000","8,017,000","5,915,000","3,166,000","5,834,000","1,583,000","1,653,000","1,380,000","1,951,000","1,811,000","4,965,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"24,177,000","24,474,000","25,188,000","24,265,000","19,747,000","22,913,000","15,036,000","4,654,000","6,129,000","8,653,000","17,355,000","17,158,000","13,490,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-46,398,000","-531,647,000","-240,720,000","19,000","22,402,000","-23,308,000","-28,427,000","64,183,000","181,035,000","19,477,000","-40,000","1,787,000","808,000","50,727,000","132,176,000","35,265,000","42,696,000","-23,190,000","6,533,000","31,503,000","12,771,000","35,194,000","3,600,000","5,600,000","2,300,000","7,500,000","1,100,000","900,000",,"-4,600,000","22,000,000","3,100,000","100,000",,,,"23,200,000"
	GainOnSaleOfSecurity,"6,316,000","-8,720,000","-54,488,000","1,000",,"-25,989,000",,"45,234,000","162,121,000",,"913,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,"17,366,000","9,892,000","7,268,000","2,412,000","724,000","-1,420,000","3,059,000","2,179,000","3,221,000",,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-46,070,000","-517,543,000","-184,636,000","-468,000","20,627,000","3,646,000","-27,526,000","19,585,000","18,923,000","19,477,000","-953,000","1,787,000","808,000","33,361,000","122,284,000","27,997,000","40,284,000","-23,914,000","7,953,000","28,444,000","10,592,000","31,973,000","3,600,000","5,600,000","2,300,000","7,500,000","1,100,000","900,000",,"-4,600,000","22,000,000","3,100,000","100,000",,,,"23,200,000"
		RestructuringAndMergernAcquisition,"17,793,000","16,047,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,"563,234,000","224,327,000","23,128,000","0","6,250,000","39,242,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,"563,234,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,"0","14,963,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,"26,007,000","46,775,000","39,691,000","22,660,000","20,627,000","9,896,000","11,716,000","19,585,000","18,923,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-6,644,000","-5,384,000","-1,596,000","486,000","1,775,000","-965,000","-901,000","-636,000","-9,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"-403,443,000","-636,498,000","-51,222,000","15,841,000","-184,598,000","-72,667,000","665,647,000","1,096,314,000","1,114,297,000","902,580,000","687,067,000","438,236,000","575,815,000","699,929,000","690,353,000","440,981,000","212,657,000","8,000,000","33,942,000","91,220,000","235,102,000","136,763,000","68,500,000","157,900,000","129,700,000","71,200,000","14,800,000","31,200,000","42,000,000","19,400,000","33,500,000","69,800,000","32,500,000","26,500,000","32,100,000","2,600,000","24,200,000"
TaxProvision,"-95,570,000","-140,106,000","-18,712,000","-477,169,000","-56,735,000","-19,677,000","243,375,000","387,548,000","392,844,000","328,971,000","252,399,000","152,155,000","232,381,000","255,557,000","250,984,000","154,391,000","87,463,000","4,365,000","14,649,000","40,573,000","93,027,000","57,684,000","25,700,000","56,700,000","45,500,000","25,800,000","5,000,000","10,200,000","17,400,000","8,600,000","12,300,000","22,200,000","9,800,000","6,300,000","10,100,000","-4,400,000","5,700,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,"0","0","10,111,000",,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"-297,363,000","-497,144,000","-36,758,000","478,326,000","-130,023,000","-58,686,000","420,051,000","704,574,000","732,797,000","581,045,000","434,186,000","156,312,000","353,545,000","461,738,000","449,261,000","293,858,000","127,606,000","4,359,000","17,873,000","63,517,000","144,254,000","82,300,000","42,800,000","101,200,000","84,200,000","72,500,000","9,800,000","25,000,000","24,600,000","10,800,000","21,200,000","47,600,000","22,700,000","20,200,000","22,000,000","7,000,000","18,500,000"
	NetIncome,"-295,996,000","-494,497,000","-33,656,000","482,672,000","-128,212,000","-56,828,000","422,225,000","708,719,000","736,639,000","581,045,000","434,186,000","156,312,000","353,545,000","461,738,000","449,261,000","293,858,000","127,606,000","4,359,000","17,873,000","63,517,000","144,254,000","82,300,000","42,800,000","101,200,000","84,200,000","72,500,000","9,800,000","25,000,000","24,600,000","10,800,000","21,200,000","47,600,000","22,700,000","20,200,000","22,000,000","7,000,000","18,500,000"
		NetIncomeIncludingNoncontrollingInterests,"-295,996,000","-494,497,000","-33,656,000","482,672,000","-128,212,000","-56,828,000","422,225,000","708,719,000","736,639,000","581,045,000","434,186,000","156,312,000","353,545,000","461,738,000","449,261,000","293,858,000","127,606,000","4,359,000","17,873,000","63,517,000","144,254,000","82,300,000","42,800,000","101,200,000","84,200,000","72,500,000","9,800,000","25,000,000","24,600,000","10,800,000","21,200,000","47,600,000","22,700,000","20,200,000","22,000,000","7,000,000","18,500,000"
			NetIncomeContinuousOperations,"-307,873,000","-496,392,000","-32,510,000","493,010,000","-127,863,000","-52,990,000","422,272,000","708,766,000","721,453,000","573,609,000","434,668,000","286,081,000","353,545,000","461,738,000","449,261,000","293,858,000","127,606,000","4,359,000","17,873,000","53,706,000","144,254,000","82,300,000","42,800,000","101,200,000","84,200,000","45,400,000","9,800,000","21,000,000","24,600,000","10,800,000","21,200,000","47,600,000","22,700,000","20,200,000","22,000,000","7,000,000","18,500,000"
			NetIncomeDiscontinuousOperations,"11,877,000","1,895,000","-1,146,000","-10,338,000","-349,000","-3,838,000","-47,000","-47,000","15,186,000","7,436,000","-482,000","-129,769,000",,,,,,,,"9,811,000",,,,,,"27,100,000",,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000",,,,,,,,,
	OtherunderPreferredStockDividend,"1,367,000","2,647,000","3,102,000","4,346,000","1,811,000","1,858,000","2,174,000","4,145,000","3,842,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AverageDilutionEarnings,,"0","0","7,000","0","0","6,000","30,000","46,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"-297,363,000","-497,144,000","-36,758,000","478,333,000","-130,023,000","-58,686,000","420,057,000","704,604,000","732,843,000","581,045,000","434,186,000","156,312,000","353,545,000","461,738,000","449,261,000","293,858,000","127,606,000","4,359,000","17,873,000","63,517,000","144,254,000","82,300,000","42,800,000","101,200,000","84,200,000","72,500,000","9,800,000","25,000,000","24,600,000","10,800,000","21,200,000","47,600,000","22,700,000","20,200,000","22,000,000","7,000,000","18,500,000"
BasicEPS,,"-4.6","-0.34","4.39","-1.2","-0.54","3.9","6.54","6.89","5.42","4.06","1.47","3.36","4.43","4.35","2.81","1.25","0.045","0.18","0.635","1.44","0.83","0.435","1.015","0.423","0.735","0.1","0.074","0.064","0.028","0.055","0.123","0.059","0.053","0.058","0.018","0.046"
DilutedEPS,,"-4.6","-0.34","4.37","-1.2","-0.54","3.87","6.46","6.79","5.34","3.99","0.77","3.32","4.34","4.27","2.77","1.225","0.045","0.175","0.63","1.42","0.82","0.43","1","0.423","0.735","0.1","0.074","0.063","0.028","0.055","0.123","0.059","0.053","0.058","0.018","0.046"
BasicAverageShares,,"108,009,000","109,216,000","108,851,000","108,500,000","107,996,000","107,754,000","107,800,000","106,286,000","106,819,000","106,643,000","105,814,000","105,364,000","104,284,000","103,338,000","104,658,000","102,174,000","100,624,000","100,078,000","99,650,000","100,192,000","99,068,000","98,486,000","99,896,000","199,116,000","98,760,000","98,144,000","98,840,000","98,548,000","98,304,000","107,056,000","97,940,000","96,688,000","107,056,000","107,056,000","106,944,000","100,584,000"
DilutedAverageShares,,"108,009,000","109,216,000","109,387,000","108,500,000","107,996,000","108,570,000","109,141,000","107,879,000","108,377,000","108,632,000","107,452,000","106,650,000","106,424,000","105,128,000","106,091,000","104,066,000","101,666,000","101,192,000","100,690,000","101,544,000","100,070,000","99,634,000","101,130,000","199,116,000","394,656,000","98,144,000","98,840,000","98,548,000","98,304,000","107,056,000","97,940,000","96,688,000","107,056,000","107,056,000","106,944,000","100,584,000"
TotalOperatingIncomeAsReported,,"-620,187,000","20,582,000","31,602,000","-172,541,000","-25,966,000","675,750,000","1,054,787,000","956,661,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalExpenses,"1,409,269,000","1,861,608,000","2,593,272,000","2,455,198,000","1,997,909,000","1,653,844,000","2,462,165,000","2,684,505,000","2,449,876,000","2,261,426,000","1,841,383,000","1,423,366,000","1,310,506,000","1,332,598,000","997,339,000","807,527,000","621,520,000","548,717,000","469,053,000","418,728,000","591,784,000","491,256,000","492,900,000","483,600,000","386,200,000","323,000,000","311,600,000","298,300,000","271,800,000","215,000,000","178,500,000","170,900,000","132,900,000","123,100,000","115,100,000","149,400,000","160,900,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-295,996,000","-494,497,000","-33,656,000","482,672,000","-128,212,000","-56,828,000","422,225,000","708,719,000","736,639,000","581,045,000","434,186,000","156,312,000","353,545,000","461,738,000","449,261,000","293,858,000","127,606,000","4,359,000","17,873,000","63,517,000","144,254,000","82,300,000","42,800,000","101,200,000","84,200,000","72,500,000","9,800,000","21,000,000","24,600,000","10,800,000","21,200,000","47,600,000","22,700,000","20,200,000","22,000,000","7,000,000","18,500,000"
NormalizedIncome,"-277,536,166.192","-85,906,860","119,333,740","493,350,910","-142,157,511","-36,701,953","439,723,484","666,892,926","604,317,532","561,143,720","434,693,305.713","284,914,444.201","353,060,200","440,557,717.011","371,434,440.55","275,662,975.203","103,435,600","18,707,400","13,101,200","36,639,600","137,853,125.486","63,116,200","40,550,656.934","97,610,892.97","82,706,861.989","40,617,696.629","9,071,621.622","20,394,230.769","24,600,000","13,560,000","7,277,611.94","45,485,959.885","22,630,153.846","20,200,000","22,000,000","7,000,000","764,462.81"
InterestIncome,"8,222,000","7,304,000","9,468,000","8,017,000","5,915,000","3,166,000","5,834,000","1,583,000","1,653,000","1,380,000","1,951,000","1,811,000","4,965,000",,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"24,177,000","24,474,000","25,188,000","24,265,000","19,747,000","22,913,000","15,036,000","4,654,000","6,129,000","8,653,000","17,355,000","17,158,000","13,490,000",,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-15,955,000","-17,170,000","-15,720,000","-16,248,000","-13,832,000","-19,747,000","-9,202,000","-3,071,000","-4,476,000","-7,273,000","-15,404,000","-15,347,000","-8,525,000",,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"-379,266,000","-612,024,000","-26,034,000","40,106,000","-164,851,000","-49,754,000","680,683,000","1,100,968,000","1,120,426,000","911,233,000","704,422,000","455,394,000","589,305,000","703,945,000","632,319,000","417,286,000","179,206,000","72,211,000","46,231,000","92,200,000","235,070,000","139,839,000","71,400,000","153,000,000","131,700,000","64,500,000","14,200,000","30,700,000","43,300,000","24,700,000","11,900,000","67,600,000","38,300,000","32,800,000","38,800,000","11,000,000","7,900,000"
EBITDA,"53,760,000"
ReconciledCostOfRevenue,"1,235,420,000","1,672,450,000","2,371,389,000","2,236,412,000","1,834,860,000","1,497,392,000","2,311,155,000","2,533,461,000","2,308,391,000","1,750,510,000","1,432,602,000","1,071,959,000","1,011,558,000","1,086,666,000","862,254,000","661,563,000","484,205,000","416,621,000","345,357,000","335,768,000","445,942,000","338,090,000","342,500,000","356,300,000","283,100,000","235,900,000","210,300,000","223,800,000","201,700,000","149,000,000","111,800,000","109,100,000","77,300,000","70,500,000","61,500,000","65,100,000","103,600,000"
ReconciledDepreciation,"433,026,000","481,885,000","562,803,000","583,802,000","585,543,000","598,587,000","606,992,000","523,549,000","455,623,000","387,549,000","315,468,000","262,658,000","236,437,000","210,766,000","146,042,000","101,583,000","96,300,000","94,435,000","82,693,000","62,569,000","88,787,000","112,386,000","110,700,000","89,800,000","72,500,000","61,100,000","77,100,000","50,100,000","48,600,000","47,700,000","40,300,000","41,600,000","41,700,000","37,600,000","34,200,000","38,500,000","40,400,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-307,873,000","-496,392,000","-32,510,000","493,010,000","-127,863,000","-52,990,000","422,272,000","708,766,000","721,453,000","573,609,000","434,668,000","286,081,000","353,545,000","461,738,000","449,261,000","293,858,000","127,606,000","4,359,000","17,873,000","53,706,000","144,254,000","82,300,000","42,800,000","101,200,000","84,200,000","45,400,000","9,800,000","21,000,000","24,600,000","10,800,000","21,200,000","47,600,000","22,700,000","20,200,000","22,000,000","7,000,000","18,500,000"
TotalUnusualItemsExcludingGoodwill,"-39,754,000","-526,263,000","-239,124,000","-467,000","20,627,000","-22,343,000","-27,526,000","64,819,000","181,044,000","19,477,000","-40,000","1,787,000","808,000","33,361,000","122,284,000","27,997,000","40,284,000","-23,914,000","7,953,000","28,444,000","10,592,000","31,973,000","3,600,000","5,600,000","2,300,000","7,500,000","1,100,000","900,000",,"-4,600,000","22,000,000","3,100,000","100,000",,,,"23,200,000"
TotalUnusualItems,"-39,754,000","-526,263,000","-239,124,000","-467,000","20,627,000","-22,343,000","-27,526,000","64,819,000","181,044,000","19,477,000","-40,000","1,787,000","808,000","33,361,000","122,284,000","27,997,000","40,284,000","-23,914,000","7,953,000","28,444,000","10,592,000","31,973,000","3,600,000","5,600,000","2,300,000","7,500,000","1,100,000","900,000",,"-4,600,000","22,000,000","3,100,000","100,000",,,,"23,200,000"
NormalizedEBITDA,"93,514,000","396,124,000","775,893,000","624,375,000","400,065,000","571,176,000","1,315,201,000","1,559,698,000","1,395,005,000","1,279,305,000","1,019,930,000","716,265,000","824,934,000","881,350,000","656,077,000","490,872,000","235,222,000","190,560,000","120,971,000","126,325,000","313,265,000","220,252,000","178,500,000","237,200,000","201,900,000","118,100,000","90,200,000","79,900,000","91,900,000","77,000,000","30,200,000","106,100,000","79,900,000","70,400,000","73,000,000","49,500,000","25,100,000"
TaxRateForCalcs,"0.237","0.22","0.365","0.27","0.307","0.271","0.366","0.354","0.353","0.36","0.367","0.347","0.4","0.365","0.364","0.35","0.4","0.4","0.4","0.4","0.396","0.4","0.375","0.359","0.351","0.362","0.338","0.327","0.4","0.4","0.367","0.318","0.302","0.238","0.315","0.4","0.236"
TaxEffectOfUnusualItems,"-9,417,166.192","-115,777,860","-87,280,260","-126,090","6,332,489","-6,054,953","-10,074,516","22,945,926","63,908,532","7,011,720","-14,694.287","620,444.201","323,200","12,180,717.011","44,457,440.55","9,801,975.203","16,113,600","-9,565,600","3,181,200","11,377,600","4,191,125.486","12,789,200","1,350,656.934","2,010,892.97","806,861.989","2,717,696.629","371,621.622","294,230.769","0","-1,840,000","8,077,611.94","985,959.885","30,153.846","0","0","0","5,464,462.81"