name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalRevenue,"1,876,190,000","2,134,043,000","3,043,383,000","3,057,619,000","2,564,285,000","2,227,839,000","3,864,437,000","6,804,197,000","6,152,015,000","6,989,573,000","6,060,351,000","4,215,540,000","3,503,431,000","5,303,788,000","4,940,681,000","4,942,714,000","3,551,009,000","2,448,152,000","1,922,846,000","1,519,012,000","2,121,157,000","1,327,124,000","642,300,000","968,200,000","1,029,300,000","719,700,000","572,800,000","422,600,000","352,000,000","286,300,000","240,100,000","139,000,000","74,500,000","56,100,000","28,600,000","69,200,000","91,600,000"
	OperatingRevenue,"1,876,190,000","2,134,043,000","3,043,383,000","3,057,619,000","2,564,285,000","2,227,839,000","3,864,437,000","6,804,197,000","6,152,015,000","6,989,573,000","6,060,351,000","4,215,540,000","3,503,431,000","5,303,788,000","4,938,848,000","4,820,162,000","3,459,908,000","2,394,031,000","1,880,003,000","1,466,443,000","2,121,157,000","1,327,124,000","642,300,000","968,200,000","1,029,300,000","719,700,000","572,800,000","422,600,000","352,000,000","286,300,000","240,100,000","139,000,000","74,500,000","56,100,000","28,600,000","69,200,000","91,600,000"
CostOfRevenue,"1,965,798,000","2,186,771,000","2,805,422,000","2,843,844,000","2,561,012,000","2,215,929,000","3,341,895,000","5,650,164,000","5,068,505,000","5,538,837,000","3,775,964,000","2,423,602,000","2,012,352,000","3,110,316,000","2,764,559,000","2,569,800,000","1,997,267,000","1,572,649,000","1,276,953,000","973,910,000","1,296,941,000","888,322,000","418,700,000","623,800,000","737,800,000","539,700,000","434,100,000","325,100,000","261,200,000","195,100,000","170,400,000","99,700,000","56,600,000","46,000,000","26,700,000","51,200,000","70,200,000"
GrossProfit,"-89,608,000","-52,728,000","237,961,000","213,775,000","3,273,000","11,910,000","522,542,000","1,154,033,000","1,083,510,000","1,450,736,000","2,284,387,000","1,791,938,000","1,491,079,000","2,193,472,000","2,176,122,000","2,372,914,000","1,553,742,000","875,503,000","645,893,000","545,102,000","824,216,000","438,802,000","223,600,000","344,400,000","291,500,000","180,000,000","138,700,000","97,500,000","90,800,000","91,200,000","69,700,000","39,300,000","17,900,000","10,100,000","1,900,000","18,000,000","21,400,000"
OperatingExpense,"230,413,000","237,079,000","385,515,000","336,586,000","302,253,000","343,172,000","479,493,000","943,696,000","584,374,000","671,234,000","1,413,986,000","1,175,917,000","1,122,118,000","1,138,029,000","976,194,000","830,561,000","588,505,000","495,787,000","400,530,000","337,260,000","325,392,000","258,917,000","165,100,000","161,900,000","136,800,000","103,000,000","80,100,000","91,100,000","59,200,000","57,100,000","42,900,000","26,600,000","14,600,000","11,100,000","11,600,000","17,500,000","22,900,000"
	SellingGeneralAndAdministration,"200,791,000","203,515,000","258,731,000","265,822,000","251,184,000","240,518,000","324,328,000","549,734,000","570,330,000","532,568,000","489,892,000","346,661,000","429,663,000","479,984,000","436,282,000","420,854,000","249,973,000","195,388,000","165,403,000","141,895,000","135,496,000","106,504,000","65,300,000","77,000,000","70,400,000","56,900,000","49,100,000","71,200,000","40,500,000","42,700,000","34,400,000","22,100,000","11,300,000","7,900,000","5,900,000","7,600,000","10,300,000"
		GeneralAndAdministrativeExpense,"200,791,000","203,515,000","258,731,000","265,822,000","251,184,000","240,518,000","324,328,000","549,734,000","570,330,000","532,568,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,"0","0","45,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"200,791,000","203,515,000","258,731,000","265,822,000","251,184,000","240,518,000","324,328,000","549,734,000","525,330,000","532,568,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"29,622,000","33,564,000","50,359,000","56,147,000","51,069,000","33,582,000","41,253,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"885,564,000",,"876,091,000","866,870,000","842,943,000","871,631,000","970,459,000","1,145,100,000","1,086,677,000","1,055,517,000","924,094,000","782,196,000","679,493,000","658,045,000","539,912,000","409,707,000","338,532,000","300,399,000","235,127,000","195,365,000","189,896,000","152,413,000","99,800,000","84,900,000","66,400,000","46,100,000","31,000,000","19,900,000","18,700,000","14,400,000","8,500,000","4,500,000","3,300,000","3,200,000","5,700,000","9,900,000","12,600,000"
		DepreciationAndAmortizationInIncomeStatement,"885,564,000",,"876,091,000","866,870,000","842,943,000","871,631,000","970,459,000","1,145,100,000","1,086,677,000","1,055,517,000","924,094,000","764,253,000","668,415,000","658,045,000","539,912,000","409,707,000","338,532,000","300,399,000","235,127,000","195,365,000","189,896,000","152,413,000","99,800,000","84,900,000","66,400,000","46,100,000","31,000,000","19,900,000","18,700,000","14,400,000","8,500,000","4,500,000","3,300,000","3,200,000","5,700,000","9,900,000","12,600,000"
		DepletionIncomeStatement,,,,,,,,,,,,"17,943,000","11,078,000",,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,"76,425,000","14,617,000",,"69,072,000","113,912,000","393,962,000","14,044,000","138,666,000",,"47,060,000","12,962,000",,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"-320,021,000","-289,807,000","-147,554,000","-122,811,000","-298,980,000","-331,262,000","43,049,000","210,337,000","499,136,000","779,502,000","870,401,000","616,021,000","368,961,000","1,055,443,000","1,199,928,000","1,542,353,000","965,237,000","379,716,000","245,363,000","207,842,000","498,824,000","179,885,000","58,500,000","182,500,000","154,700,000","77,000,000","58,600,000","6,400,000","31,600,000","34,100,000","26,800,000","12,700,000","3,300,000","-1,000,000","-9,700,000","500,000","-1,500,000"
NetNonOperatingInterestIncomeExpense,"-190,902,000","-201,569,000","-195,887,000","-222,167,000","-222,889,000","-185,360,000","-181,928,000","-177,948,000","-223,418,000","-251,552,000","-256,633,000","-273,044,000","-264,948,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"3,625,000","4,705,000","8,424,000","4,957,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"194,527,000","206,274,000","204,311,000","227,124,000","222,889,000","185,360,000","181,928,000","177,948,000","223,418,000","251,552,000","256,633,000","273,044,000","264,948,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"43,328,000","-214,191,000","-245,481,000","-173,816,000","-58,215,000","-681,453,000","-288,656,000","-637,004,000","-169,558,000","-253,267,000","-125,999,000","-260,931,000","-339,129,000","-162,199,000","-53,794,000","43,073,000","3,246,000","8,686,000","15,091,000","18,483,000","50,207,000","61,611,000","8,900,000","33,100,000","44,100,000","16,400,000","7,700,000","5,100,000","12,800,000","6,900,000","7,300,000","7,700,000","3,000,000","4,100,000","-69,100,000","-5,800,000","-15,100,000"
	GainOnSaleOfSecurity,"-12,875,000","-15,392,000","-19,135,000","-18,612,000","-409,000","-4,486,000","1,916,000","10,812,000","90,358,000","59,631,000","19,940,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,"0","-5,000","1,000","7,000","-221,914,000","-75,081,000","-6,301,000","39,000","-301,320,000","56,647,000",,,,"17,724,000","20,545,000","5,671,000","4,057,000","10,183,000","14,775,000","36,887,000",,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"59,377,000","-198,969,000","-226,413,000","-151,557,000","-64,835,000","-448,193,000","-213,882,000","-639,087,000","-253,505,000","-9,488,000","-202,586,000","-260,931,000","-339,129,000","-162,199,000","-71,518,000","22,528,000","-2,425,000","4,629,000","4,908,000","3,708,000","13,320,000","61,611,000","8,900,000","33,100,000","44,100,000","16,400,000","7,700,000","5,100,000","12,800,000","6,900,000","7,300,000","7,700,000","3,000,000","4,100,000","-69,100,000","-5,800,000","-15,100,000"
		RestructuringAndMergernAcquisition,"19,490,000","19,070,000","11,447,000","14,323,000","21,628,000","0","-47,074,000","22,313,000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"113,217,000","371,971,000","214,067,000","45,570,000","6,895,000","216,355,000","74,464,000","604,174,000","20,000,000","151,594,000","198,072,000","260,931,000","339,129,000",,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,"3,973,000","19,590,000","290,471,000","144,446,000","0","219,737,000","180,591,000","6,974,000","287,241,000","290,260,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"-215,551,000","-224,025,000","-6,242,000","15,207,000","17,286,000","-2,729,000","8,194,000","14,456,000","219,881,000","5,382,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,"-19,494,000","-12,363,000","-7,141,000","-76,457,000","-19,026,000","-14,830,000","2,293,000","8,830,000","-13,624,000","147,488,000","-4,514,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-3,174,000","170,000","72,000","-3,648,000","7,022,000","-6,860,000","-1,609,000","-2,428,000","-6,450,000","-2,090,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"-467,595,000","-705,567,000","-588,922,000","-518,794,000","-580,084,000","-1,198,075,000","-427,535,000","-604,615,000","106,160,000","274,683,000","487,769,000","82,046,000","-235,116,000","801,624,000","1,135,331,000","1,470,919,000","873,950,000","335,838,000","174,623,000","140,774,000","542,282,000","226,707,000","45,600,000","200,000,000","182,400,000","81,600,000","58,600,000","4,300,000","36,500,000","35,600,000","29,900,000","17,000,000",,"-5,100,000","-92,700,000","-9,800,000","-17,800,000"
TaxProvision,"49,318,000","57,286,000","91,576,000","79,269,000","-82,970,000","-186,831,000","-98,038,000","62,666,000","-55,181,000","32,628,000","142,605,000","-24,814,000","-149,228,000","250,451,000","239,664,000","450,183,000","225,255,000","33,381,000","-17,605,000","19,285,000","194,490,000","91,233,000","17,900,000","75,000,000","67,600,000","11,100,000","7,500,000","3,600,000","2,200,000","1,800,000","2,800,000","2,400,000",,"-800,000","-7,100,000","-200,000","-1,200,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,"-3,000,000","-750,000",,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"-563,469,000","-820,252,000","-720,129,000","-666,170,000","-546,811,000","-1,029,742,000","-372,675,000","-670,659,000","139,982,000","164,034,000","243,679,000","94,695,000","-85,546,000","551,173,000","930,691,000","1,020,736,000","648,695,000","302,457,000","192,228,000","121,489,000","357,450,000","137,356,000","27,700,000","125,000,000","114,800,000","70,500,000","51,100,000","700,000","34,300,000","33,800,000","27,100,000","14,600,000","5,500,000","-4,300,000","-85,600,000","-9,600,000","-22,800,000"
	NetIncome,"-551,012,000","-805,641,000","-702,885,000","-640,948,000","-546,811,000","-1,029,742,000","-372,675,000","-668,675,000","142,982,000","167,034,000","243,679,000","94,695,000","-85,546,000","551,173,000","930,691,000","1,020,736,000","648,695,000","302,457,000","192,228,000","121,489,000","357,450,000","137,356,000","27,700,000","125,000,000","114,800,000","70,500,000","51,100,000","700,000","34,300,000","33,800,000","27,100,000","14,600,000","5,500,000","-4,300,000","-85,600,000","-9,600,000","-22,800,000"
		NetIncomeIncludingNoncontrollingInterests,"-516,906,000","-762,846,000","-680,510,000","-612,726,000","-540,633,000","-1,029,607,000","-372,294,000","-667,260,000","150,162,000","167,655,000","244,724,000","94,780,000","-85,888,000","551,173,000","930,691,000","1,020,736,000","648,695,000","302,457,000","192,228,000","121,489,000","357,450,000","137,356,000","27,700,000","125,000,000","114,800,000","70,500,000","51,100,000","700,000","34,300,000","33,800,000","27,100,000","14,600,000","5,500,000","-4,300,000","-85,600,000","-9,600,000","-22,800,000"
			NetIncomeContinuousOperations,"-516,913,000","-762,853,000","-680,498,000","-598,063,000","-497,114,000","-1,011,244,000","-329,497,000","-667,281,000","161,341,000","242,055,000","342,164,000","106,110,000","-85,888,000","551,173,000","895,667,000","1,020,736,000","648,695,000","302,457,000","192,228,000","121,489,000","347,792,000","135,474,000","27,700,000","125,000,000","114,800,000","70,500,000","51,100,000","700,000","34,300,000","33,800,000","27,100,000","14,600,000","5,500,000","-4,300,000","-85,600,000","-9,600,000","-16,600,000"
			NetIncomeDiscontinuousOperations,,"7,000","-12,000","-14,663,000","-43,519,000","-18,363,000","-42,797,000","21,000","-11,179,000","-74,400,000","-97,440,000","-11,330,000","0",,"35,024,000",,,,,,,,,,,,,,,,,,,,,,"-6,200,000"
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,,"9,658,000","1,882,000",,,,,,,,,,,,,,,
		MinorityInterests,"-34,106,000","-42,795,000","-22,375,000","-28,222,000","-6,178,000","-135,000","-381,000","-1,415,000","-7,180,000","-621,000","-1,045,000","-85,000","342,000",,,,,,,,,,,,,,,,,,,,,,,,
	PreferredStockDividends,"14,612,000","14,611,000","17,244,000","12,305,000",,,,"1,984,000","3,000,000","3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,,,,"12,917,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"-563,469,000","-820,252,000","-720,129,000","-666,170,000","-546,811,000","-1,029,742,000","-372,675,000","-670,659,000","139,982,000","164,034,000","243,679,000","94,695,000","-85,546,000","551,173,000","930,691,000","1,020,736,000","648,695,000","302,457,000","192,228,000","121,489,000","357,450,000","137,356,000","27,700,000","125,000,000","114,800,000","70,500,000","51,100,000","700,000","34,300,000","33,800,000","27,100,000","14,600,000","5,500,000","-4,300,000","-85,600,000","-9,600,000","-22,800,000"
BasicEPS,,"-118.69","-105.5","-99.5","-95","-182","-64.5","-114","23.5","28.5","42.5","16.5","-15","99","167","176","104","50.75","32.75","21.25","62","23.75","6.25","31","28","19","14.5","0.25","12.5","13","11","6.75","3","-4.75","-213.75","-75.25","-69.75"
DilutedEPS,,"-118.69","-105.5","-99.5","-95","-182","-64.5","-114","23.5","28","41.5","16.5","-15","96.5","162.5","170","100","48","31.25","20.25","56","22.5","5.75","29","26.5","18.75","14.25","0.25","12.5","13","11","6.75","3","-4.75","-213.75","-75.25","-69.75"
BasicAverageShares,,"7,059,000","7,032,340","6,687,940","5,613,060","5,529,500","5,659,640","5,813,880","5,883,640","5,799,300","5,742,360","5,702,900","5,666,520","5,563,320","5,580,520","5,804,820","6,242,680","5,957,440","5,859,800","5,746,200","5,777,200","5,773,760","4,432,000","4,032,258","4,100,000","3,710,526","3,524,138","2,800,000","2,744,000","2,600,000","2,463,636","2,162,963","1,833,333","1,674,880","400,468","400,000","326,882"
DilutedAverageShares,,"7,059,000","7,032,340","6,687,940","5,613,060","5,529,500","5,659,640","5,813,880","5,931,840","5,846,460","5,849,680","5,799,920","5,666,520","5,705,700","5,732,120","5,996,540","6,487,560","6,561,200","6,275,880","5,999,880","6,751,600","6,096,680","4,817,391","4,310,345","4,332,075","3,760,000","3,585,965","2,800,000","2,744,000","2,600,000","2,463,636","2,162,963","1,833,333","1,674,880","400,468","400,000","326,882"
TotalExpenses,"2,196,211,000","2,423,850,000","3,190,937,000","3,180,430,000","2,863,265,000","2,559,101,000","3,821,388,000","6,593,860,000","5,652,879,000","6,210,071,000","5,189,950,000","3,599,519,000","3,134,470,000","4,248,345,000","3,740,753,000","3,400,361,000","2,585,772,000","2,068,436,000","1,677,483,000","1,311,170,000","1,622,333,000","1,147,239,000","583,800,000","785,700,000","874,600,000","642,700,000","514,200,000","416,200,000","320,400,000","252,200,000","213,300,000","126,300,000","71,200,000","57,100,000","38,300,000","68,700,000","93,100,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-551,012,000","-805,641,000","-702,885,000","-640,948,000","-546,811,000","-1,029,742,000","-372,675,000","-668,675,000","142,982,000","167,034,000","243,679,000","94,695,000","-85,546,000","551,173,000","930,691,000","1,020,736,000","648,695,000","302,457,000","192,228,000","121,489,000","347,792,000","135,474,000","27,700,000","125,000,000","114,800,000","70,500,000","51,100,000","700,000","34,300,000","33,800,000","27,100,000","14,600,000","5,500,000","-4,300,000","-85,600,000","-9,600,000","-22,800,000"
NormalizedIncome,"-578,920,200","-649,164,470","-523,622,960","-502,061,630","-447,377,892","-629,317,924","-166,452,214","-105,761,600","260,206,550","197,258,017","470,366,295.224","275,630,150","134,887,850","662,696,244.597","952,087,825.738","1,005,102,820.601","650,494,971.823","298,288,104.72","189,283,200","118,288,968.659","339,249,231.772","98,507,400","22,293,640.351","104,312,500","87,044,078.947","56,330,882.353","44,385,494.881","-2,360,000","22,271,506.849","27,248,876.404","20,483,612.04","7,987,058.824","3,700,000","-7,756,862.745","-21,792,448.759","-3,918,367.347","-2,517,977.528"
InterestIncome,"3,625,000","4,705,000","8,424,000","4,957,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"194,527,000","206,274,000","204,311,000","227,124,000","222,889,000","185,360,000","181,928,000","177,948,000","223,418,000","251,552,000","256,633,000","273,044,000","264,948,000",,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-190,902,000","-201,569,000","-195,887,000","-222,167,000","-222,889,000","-185,360,000","-181,928,000","-177,948,000","-223,418,000","-251,552,000","-256,633,000","-273,044,000","-264,948,000",,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"-273,068,000","-499,293,000","-384,611,000","-291,670,000","-357,195,000","-1,012,715,000","-245,607,000","-426,667,000","329,578,000","526,235,000","744,402,000","355,090,000","29,832,000","1,055,443,000","1,199,928,000","1,542,353,000","965,237,000","379,716,000","245,363,000","207,842,000","498,824,000","179,885,000","58,500,000","182,500,000","154,700,000","77,000,000","58,600,000","6,400,000","31,600,000","34,100,000","26,800,000","12,700,000","3,300,000","-1,000,000","-9,700,000","500,000","-1,500,000"
EBITDA,"530,843,000"
ReconciledCostOfRevenue,"1,965,798,000","2,186,771,000","2,805,422,000","2,843,844,000","2,561,012,000","2,215,929,000","3,341,895,000","5,650,164,000","5,068,505,000","5,538,837,000","3,728,047,000","2,411,613,000","2,011,508,000","3,100,123,000","2,749,074,000","2,558,722,000","1,966,220,000","1,546,340,000","1,245,816,000","943,070,000","1,265,289,000","888,322,000","418,700,000","623,800,000","737,800,000","539,700,000","434,100,000","325,100,000","261,200,000","195,100,000","170,400,000","99,700,000","56,600,000","46,000,000","26,700,000","51,200,000","70,200,000"
ReconciledDepreciation,"803,911,000","853,697,000","876,103,000","868,509,000","845,439,000","874,296,000","973,318,000","1,148,309,000","1,122,011,000","1,058,330,000","972,011,000","794,185,000","680,337,000","668,238,000","555,397,000","420,785,000","369,579,000","326,708,000","266,264,000","226,205,000","221,548,000","152,413,000","99,800,000","84,900,000","66,400,000","46,100,000","31,000,000","19,900,000","18,700,000","14,400,000","8,500,000","4,500,000","3,300,000","3,200,000","5,700,000","9,900,000","12,600,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-551,019,000","-805,648,000","-702,873,000","-626,285,000","-503,292,000","-1,011,379,000","-329,878,000","-668,696,000","154,161,000","241,434,000","341,119,000","106,025,000","-85,546,000","551,173,000","895,667,000","1,020,736,000","648,695,000","302,457,000","192,228,000","121,489,000","347,792,000","135,474,000","27,700,000","125,000,000","114,800,000","70,500,000","51,100,000","700,000","34,300,000","33,800,000","27,100,000","14,600,000","5,500,000","-4,300,000","-85,600,000","-9,600,000","-16,600,000"
TotalUnusualItemsExcludingGoodwill,"46,502,000","-214,361,000","-245,548,000","-170,169,000","-65,244,000","-452,679,000","-211,966,000","-628,275,000","-163,147,000","50,143,000","-182,646,000","-260,931,000","-339,129,000","-162,199,000","-71,518,000","22,528,000","-2,425,000","4,629,000","4,908,000","3,708,000","13,320,000","61,611,000","8,900,000","33,100,000","44,100,000","16,400,000","7,700,000","5,100,000","12,800,000","6,900,000","7,300,000","7,700,000","3,000,000","4,100,000","-69,100,000","-5,800,000","-15,100,000"
TotalUnusualItems,"46,502,000","-214,361,000","-245,548,000","-170,169,000","-65,244,000","-452,679,000","-211,966,000","-628,275,000","-163,147,000","50,143,000","-182,646,000","-260,931,000","-339,129,000","-162,199,000","-71,518,000","22,528,000","-2,425,000","4,629,000","4,908,000","3,708,000","13,320,000","61,611,000","8,900,000","33,100,000","44,100,000","16,400,000","7,700,000","5,100,000","12,800,000","6,900,000","7,300,000","7,700,000","3,000,000","4,100,000","-69,100,000","-5,800,000","-15,100,000"
NormalizedEBITDA,"484,341,000","568,765,000","737,040,000","747,008,000","553,488,000","314,260,000","939,677,000","1,349,917,000","1,614,736,000","1,534,422,000","1,899,059,000","1,410,206,000","1,049,298,000","1,885,880,000","1,826,843,000","1,940,610,000","1,337,241,000","701,795,000","506,719,000","430,339,000","707,052,000","270,687,000","149,400,000","234,300,000","177,000,000","106,700,000","81,900,000","21,200,000","37,500,000","41,600,000","28,000,000","9,500,000","3,600,000","-1,900,000","65,100,000","16,200,000","26,200,000"
TaxRateForCalcs,"0.4","0.27","0.27","0.27","0.143","0.156","0.229","0.104","0.35","0.119","0.292","0.35","0.35","0.312","0.211","0.306","0.258","0.099","0.4","0.137","0.359","0.4","0.393","0.375","0.371","0.136","0.128","0.4","0.06","0.051","0.094","0.141","0.4","0.157","0.077","0.02","0.067"
TaxEffectOfUnusualItems,"18,600,800","-57,877,470","-66,297,960","-45,945,630","-9,329,892","-70,617,924","-48,540,214","-65,340,600","-57,101,450","5,967,017","-53,398,704.776","-91,325,850","-118,695,150","-50,675,755.403","-15,097,174.262","6,894,820.601","-625,028.177","460,104.72","1,963,200","507,968.659","4,777,231.772","24,644,400","3,493,640.351","12,412,500","16,344,078.947","2,230,882.353","985,494.881","2,040,000","771,506.849","348,876.404","683,612.04","1,087,058.824","1,200,000","643,137.255","-5,292,448.759","-118,367.347","-1,017,977.528"