CFP,CurrentRatio,CurrentRatio,CurrentRatio,DERatio,DERatio,DERatio,NetMargin,NetMargin,NetMargin,OperatingMargin,OperatingMargin,OperatingMargin,QuickRatio,QuickRatio,QuickRatio,ROA1,ROA1,ROA1,ROC1,ROC1,ROC1,ROE1,ROE1,ROE1,eps,eps,eps
Correlation,Pearson,Spearman,Kendall,Pearson,Spearman,Kendall,Pearson,Spearman,Kendall,Pearson,Spearman,Kendall,Pearson,Spearman,Kendall,Pearson,Spearman,Kendall,Pearson,Spearman,Kendall,Pearson,Spearman,Kendall,Pearson,Spearman,Kendall
Company:,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001159275,0.221(0.674),0.543(0.266),0.467(0.272),nan(nan),nan(nan),nan(nan),-0.435(0.714),-0.5(0.667),-0.333(1.0),-0.24(0.846),-0.5(0.667),-0.333(1.0),0.121(0.819),0.657(0.156),0.467(0.272),0.833(0.08),0.9(0.037),0.8(0.083),0.833(0.08),0.9(0.037),0.8(0.083),-0.315(0.606),-0.3(0.624),-0.2(0.817),0.089(0.867),0.371(0.468),0.2(0.719)
0000835011,0.13(0.835),0.4(0.505),0.4(0.483),0.602(0.283),0.1(0.873),0.0(1.0),-0.815(0.093),-0.7(0.188),-0.6(0.233),-0.878(0.05),-0.5(0.391),-0.4(0.483),-0.006(0.993),0.1(0.873),0.0(1.0),-0.843(0.073),-0.5(0.391),-0.4(0.483),-0.864(0.059),-0.6(0.285),-0.4(0.483),-0.857(0.063),-0.5(0.391),-0.4(0.483),-0.847(0.07),-0.5(0.391),-0.4(0.483)
0001575858,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001756180,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000037785,-0.422(0.479),-0.1(0.873),0.0(1.0),0.3(0.623),0.2(0.747),0.2(0.817),0.175(0.825),0.4(0.6),0.333(0.75),-0.004(0.996),0.2(0.8),0.0(1.0),-0.687(0.2),-0.8(0.104),-0.6(0.233),0.388(0.519),0.6(0.285),0.4(0.483),0.256(0.677),0.2(0.747),0.2(0.817),0.527(0.361),0.7(0.188),0.6(0.233),-0.389(0.446),-0.314(0.544),-0.2(0.719)
0001441693,,,,,,,1.0(1.0),1.0(nan),1.0(1.0),1.0(1.0),1.0(nan),1.0(1.0),,,,,,,,,,-1.0(1.0),-1.0(nan),-1.0(1.0),1.0(1.0),1.0(nan),1.0(1.0)
0001469443,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001482541,-0.418(0.725),-0.5(0.667),-0.333(1.0),nan(nan),nan(nan),nan(nan),-0.993(0.077),-1.0(0.0),-1.0(0.333),-0.99(0.09),-1.0(0.0),-1.0(0.333),-0.418(0.725),-0.5(0.667),-0.333(1.0),-0.912(0.269),-1.0(0.0),-1.0(0.333),-0.912(0.269),-1.0(0.0),-1.0(0.333),0.947(0.209),1.0(0.0),1.0(0.333),-0.816(0.393),-1.0(0.0),-1.0(0.333)
0000003545,0.216(0.682),0.257(0.623),0.2(0.719),0.139(0.793),0.143(0.787),0.067(1.0),0.12(0.777),0.405(0.32),0.286(0.399),0.077(0.856),0.167(0.693),0.143(0.72),0.459(0.36),0.486(0.329),0.333(0.469),0.847(0.033),0.886(0.019),0.733(0.056),0.248(0.635),0.2(0.704),0.067(1.0),0.781(0.067),0.886(0.019),0.733(0.056),0.454(0.258),0.714(0.047),0.5(0.109)
0000016160,0.138(0.668),-0.175(0.587),-0.121(0.638),0.147(0.649),0.098(0.762),0.121(0.638),0.149(0.643),0.196(0.542),0.152(0.545),0.135(0.675),0.14(0.665),0.121(0.638),0.128(0.691),0.028(0.931),0.03(0.947),0.15(0.642),0.182(0.572),0.121(0.638),0.244(0.444),0.182(0.572),0.152(0.545),0.081(0.803),0.196(0.542),0.152(0.545),0.205(0.524),0.217(0.499),0.212(0.381)
0001477246,0.741(0.259),0.4(0.6),0.333(0.75),-0.566(0.434),-0.949(0.051),-0.913(0.071),0.307(0.693),0.6(0.4),0.333(0.75),0.264(0.736),0.6(0.4),0.333(0.75),0.556(0.444),0.8(0.2),0.667(0.333),0.49(0.51),0.6(0.4),0.333(0.75),0.232(0.768),0.6(0.4),0.333(0.75),0.621(0.379),0.6(0.4),0.333(0.75),0.791(0.209),1.0(0.0),1.0(0.083)
0001705843,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001425292,0.429(0.718),0.5(0.667),0.333(1.0),0.911(0.27),1.0(0.0),1.0(0.333),0.677(0.323),0.8(0.2),0.667(0.333),0.704(0.296),0.8(0.2),0.667(0.333),0.499(0.667),0.5(0.667),0.333(1.0),0.72(0.488),0.5(0.667),0.333(1.0),0.82(0.388),0.5(0.667),0.333(1.0),0.785(0.425),0.5(0.667),0.333(1.0),-1.0(1.0),-1.0(nan),-1.0(1.0)
0001548240,-0.384(0.749),-0.5(0.667),-0.333(1.0),nan(nan),nan(nan),nan(nan),1.0(1.0),1.0(nan),1.0(1.0),1.0(1.0),1.0(nan),1.0(1.0),-0.37(0.759),-0.5(0.667),-0.333(1.0),-0.144(0.908),-0.5(0.667),-0.333(1.0),1.0(1.0),1.0(nan),1.0(1.0),-0.008(0.995),0.5(0.667),0.333(1.0),-0.205(0.869),-0.5(0.667),-0.333(1.0)
0001592016,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001121702,0.112(0.773),0.1(0.798),0.056(0.919),,,,0.511(0.16),0.333(0.381),0.167(0.612),0.48(0.191),0.233(0.546),0.111(0.761),0.114(0.77),0.2(0.606),0.111(0.761),-0.667(0.05),-0.45(0.224),-0.333(0.26),,,,0.194(0.617),0.217(0.576),0.167(0.612),0.043(0.913),0.283(0.46),0.167(0.612)
0000825542,0.473(0.527),0.4(0.6),0.333(0.75),0.158(0.899),0.5(0.667),0.333(1.0),,,,,,,0.495(0.505),0.2(0.8),0.0(1.0),-0.662(0.338),-0.8(0.2),-0.667(0.333),0.018(0.989),0.5(0.667),0.333(1.0),-0.81(0.097),-0.9(0.037),-0.8(0.083),-0.716(0.174),-0.8(0.104),-0.6(0.233)
0000277638,0.999(0.02),1.0(0.0),1.0(0.333),-0.018(0.988),0.5(0.667),0.333(1.0),0.965(0.169),1.0(0.0),1.0(0.333),0.999(0.029),1.0(0.0),1.0(0.333),,,,0.96(0.18),1.0(0.0),1.0(0.333),0.467(0.691),0.5(0.667),0.333(1.0),0.995(0.005),1.0(0.0),1.0(0.083),0.967(0.033),1.0(0.0),1.0(0.083)
0000005981,0.049(0.893),0.006(0.987),-0.022(1.0),-0.042(0.908),-0.091(0.803),-0.111(0.727),-0.136(0.691),-0.282(0.401),-0.164(0.542),-0.158(0.643),-0.418(0.201),-0.273(0.283),-0.361(0.306),-0.612(0.06),-0.422(0.108),-0.124(0.733),-0.309(0.385),-0.2(0.484),-0.072(0.843),-0.273(0.446),-0.2(0.484),-0.144(0.691),-0.442(0.2),-0.289(0.291),0.019(0.956),-0.127(0.709),-0.018(1.0)
0001302946,0.665(0.15),0.429(0.397),0.467(0.272),-0.772(0.072),-0.886(0.019),-0.733(0.056),0.401(0.431),0.657(0.156),0.467(0.272),0.456(0.364),0.657(0.156),0.467(0.272),0.665(0.15),0.429(0.397),0.467(0.272),0.328(0.526),0.543(0.266),0.333(0.469),0.093(0.861),0.257(0.623),0.2(0.719),0.243(0.643),0.257(0.623),0.2(0.719),0.127(0.81),0.2(0.704),0.2(0.719)
0001342423,0.734(0.266),0.8(0.2),0.667(0.333),-0.521(0.479),-0.4(0.6),-0.333(0.75),-0.33(0.588),-0.6(0.285),-0.4(0.483),-0.346(0.568),-0.1(0.873),0.0(1.0),0.734(0.266),0.8(0.2),0.667(0.333),-0.762(0.238),-0.4(0.6),-0.333(0.75),-0.576(0.424),-0.4(0.6),-0.333(0.75),-0.29(0.636),-0.3(0.624),-0.2(0.817),-0.173(0.781),-0.3(0.624),-0.2(0.817)
0001285785,-0.943(0.057),-0.8(0.2),-0.667(0.333),0.95(0.202),1.0(0.0),1.0(0.333),-0.693(0.307),-0.8(0.2),-0.667(0.333),-0.769(0.231),-0.8(0.2),-0.667(0.333),-0.939(0.061),-0.8(0.2),-0.667(0.333),-0.63(0.37),-0.8(0.2),-0.667(0.333),0.678(0.525),0.5(0.667),0.333(1.0),-0.609(0.391),-0.8(0.2),-0.667(0.333),-0.324(0.594),-0.3(0.624),-0.2(0.817)
0001133470,0.359(0.279),0.282(0.401),0.164(0.542),-0.433(0.183),-0.336(0.312),-0.309(0.218),0.098(0.774),0.255(0.45),0.2(0.445),0.071(0.837),0.209(0.537),0.164(0.542),0.379(0.25),0.245(0.467),0.164(0.542),0.251(0.456),0.373(0.259),0.309(0.218),-0.344(0.301),-0.3(0.37),-0.2(0.445),0.088(0.796),0.236(0.484),0.2(0.445),-0.085(0.803),0.173(0.612),0.164(0.542)
