name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalRevenue,"349,953,000","404,177,000","351,082,000","330,802,000","356,284,000","289,194,000","298,665,000","323,672,000","302,309,000","302,867,000","180,468,000","208,371,000","262,950,000"
"	OperatingRevenue","339,819,000","396,532,000","342,783,000","330,802,000","356,284,000","289,194,000","298,665,000","323,672,000","302,309,000","302,867,000","180,468,000","208,371,000","262,950,000"
CostOfRevenue,"325,110,000","347,571,000","319,355,000","314,390,000","300,307,000","199,697,000","198,159,000","177,745,000","162,409,000","129,002,000","121,007,000","126,611,000","118,693,000"
GrossProfit,"24,843,000","56,606,000","31,727,000","16,412,000","55,977,000","89,497,000","100,506,000","145,927,000","139,900,000","173,865,000","59,461,000","81,760,000","144,257,000"
OperatingExpense,"18,174,000","25,829,000","25,023,000","25,630,000","29,276,000","20,768,000","17,703,000","21,076,000","24,142,000","41,027,000","39,105,000","32,897,000","27,450,000"
"	SellingGeneralAndAdministration","18,174,000","25,829,000","25,023,000","25,630,000","29,276,000","20,768,000","17,703,000","21,076,000","24,142,000","22,158,000","20,642,000","14,212,000","9,463,000"
"	DepreciationAmortizationDepletionIncomeStatement",,,,,,,,,,"18,869,000","18,463,000","18,685,000","17,987,000"
"		DepreciationAndAmortizationInIncomeStatement",,,,,,,,,,"18,869,000","18,463,000","18,685,000","17,987,000"
OperatingIncome,"6,669,000","30,777,000","6,704,000","-9,218,000","26,701,000","68,729,000","82,803,000","124,851,000","115,758,000","132,838,000","20,356,000","48,863,000","116,807,000"
NetNonOperatingInterestIncomeExpense,"-63,428,000","-62,636,000","-62,588,000","-62,845,000","-48,551,000","-6,840,000","-6,753,000","-6,220,000","-3,548,000","-3,928,000","13,124,000","8,999,000","2,045,000"
"	InterestIncomeNonOperating",,,,"50,000","6,000","40,000","30,000","74,000","208,000","79,000","13,124,000","8,999,000","2,045,000"
"	InterestExpenseNonOperating","63,428,000","62,636,000","62,588,000","62,895,000","48,557,000","6,880,000","6,783,000","6,294,000","3,756,000","4,007,000",,0,
"	TotalOtherFinanceCost",,"62,636,000","62,588,000",,,,,,,,,,
OtherIncomeExpense,"-41,392,000","-3,128,000","5,811,000","-505,000","-4,759,000","164,000","71,000","93,000","65,000","3,565,000","-148,000","31,000","107,000"
"	SpecialIncomeCharges","-41,551,000","-3,397,000","-390,000",,"-4,862,000",,,0,0,"3,565,000","-148,000","31,000","107,000"
"		ImpairmentOfCapitalAssets","40,969,000",,,,,,,,,,,,
"		OtherSpecialCharges",,,,,"4,862,000",,,,,,,,
"		GainOnSaleOfPPE","-582,000","-3,397,000","-390,000",,,,,,,,,,
"	OtherNonOperatingIncomeExpenses","159,000","269,000","6,201,000","-505,000","103,000","164,000","71,000","93,000","65,000",,,,
PretaxIncome,"-98,151,000","-34,987,000","-50,073,000","-72,568,000","-26,609,000","62,053,000","76,121,000","118,724,000","112,275,000","132,475,000","33,332,000","57,893,000","118,959,000"
TaxProvision,"30,000","-18,000","-46,000","220,000","329,000","11,000","-28,000","108,000","52,000","28,000","26,000","15,000","25,000"
NetIncomeCommonStockholders,"-98,181,000","-34,969,000","-50,027,000","-72,788,000","-26,938,000","62,042,000","76,149,000","118,616,000","112,223,000","132,447,000","33,306,000","57,878,000","118,934,000"
"	NetIncome","-98,181,000","-34,969,000","-50,027,000","-72,788,000","-26,938,000","62,042,000","76,149,000","118,616,000","112,223,000","132,447,000","33,306,000","57,878,000","118,934,000"
"		NetIncomeIncludingNoncontrollingInterests","-98,181,000","-34,969,000","-50,027,000","-72,788,000","-26,938,000","62,042,000","76,149,000","118,616,000","112,223,000","132,447,000","33,306,000","57,878,000","118,934,000"
"			NetIncomeContinuousOperations","-98,181,000","-34,969,000","-50,027,000","-72,788,000","-26,938,000","62,042,000","76,149,000","118,616,000","112,223,000","132,447,000","33,306,000","57,878,000","118,934,000"
DilutedNIAvailtoComStockholders,"-98,181,000","-34,969,000","-50,027,000","-72,788,000","-26,938,000","62,042,000","76,149,000","118,616,000","112,223,000",,,"57,878,000",
BasicEPS,,-3.1,-4.4,-6.4,-2.6,8.5,10.4,16.2,15.4,14.8,4.562,7.928,16.292
DilutedEPS,,-3.1,-4.4,-6.4,-2.6,8.5,10.4,16.2,15.3,14.8,4.562,7.928,16.292
BasicAverageShares,,"11,328,300","11,328,300","11,328,300","10,329,900","7,312,300","7,311,500","7,307,200","7,303,900","7,300,800","7,300,000","7,300,000","7,300,000"
DilutedAverageShares,,"11,328,300","11,328,300","11,328,300","10,329,900","7,313,100","7,313,900","7,322,800","7,319,300","7,307,300","7,300,000","7,300,000","7,300,000"
TotalOperatingIncomeAsReported,"-34,882,000","27,380,000","6,314,000","-9,218,000","26,701,000","68,729,000","82,803,000","124,851,000","115,758,000","136,198,000","20,356,000","48,863,000","116,807,000"
TotalExpenses,"343,284,000","373,400,000","344,378,000","340,020,000","329,583,000","220,465,000","215,862,000","198,821,000","186,551,000","170,029,000","160,112,000","159,508,000","146,143,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-98,181,000","-34,969,000","-50,027,000","-72,788,000","-26,938,000","62,042,000","76,149,000","118,616,000","112,223,000","132,447,000","33,306,000","57,878,000","118,934,000"
NormalizedIncome,"-67,848,770","-31,573,747.68","-49,637,358.28","-72,788,000","-24,020,800","62,042,000","76,149,000","118,616,000","112,223,000","128,882,753.50","33,453,884.56","57,847,008.03","118,827,022.49"
InterestIncome,,,,"50,000","6,000","40,000","30,000","74,000","208,000","79,000","13,124,000","8,999,000","2,045,000"
InterestExpense,"63,428,000","62,636,000","62,588,000","62,895,000","48,557,000","6,880,000","6,783,000","6,294,000","3,756,000","4,007,000",,0,
NetInterestIncome,"-63,428,000","-62,636,000","-62,588,000","-62,845,000","-48,551,000","-6,840,000","-6,753,000","-6,220,000","-3,548,000","-3,928,000","13,124,000","8,999,000","2,045,000"
EBIT,"-34,723,000","27,649,000","12,515,000","-9,673,000","21,948,000","68,933,000","82,904,000","125,018,000","116,031,000","136,482,000","20,356,000","57,893,000","116,807,000"
EBITDA,,,,,,,,,,,,,
ReconciledCostOfRevenue,"325,110,000","347,571,000","319,355,000","314,390,000","300,307,000","199,697,000","198,159,000","177,745,000","162,409,000","129,002,000","121,007,000","126,611,000","118,693,000"
ReconciledDepreciation,"76,077,000","79,839,000","71,575,000","73,986,000","58,246,000","28,452,000","27,249,000","25,578,000","20,723,000","18,869,000","18,463,000","18,685,000","17,987,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-98,181,000","-34,969,000","-50,027,000","-72,788,000","-26,938,000","62,042,000","76,149,000","118,616,000","112,223,000","132,447,000","33,306,000","57,878,000","118,934,000"
TotalUnusualItemsExcludingGoodwill,"-41,551,000","-3,397,000","-390,000",,"-4,862,000",,,0,0,"3,565,000","-148,000","31,000","107,000"
TotalUnusualItems,"-41,551,000","-3,397,000","-390,000",,"-4,862,000",,,0,0,"3,565,000","-148,000","31,000","107,000"
NormalizedEBITDA,"82,905,000","110,885,000","84,480,000","64,313,000","85,056,000","97,385,000","110,153,000","150,596,000","136,754,000","151,786,000","38,967,000","76,547,000","134,687,000"
TaxRateForCalcs,0.27,0.001,0.001,0.4,0.4,0,0.35,0.001,0,0,0.001,0,0
TaxEffectOfUnusualItems,"-11,218,770","-1,747.68",-358.277,0,"-1,944,800",0,0,0,0,753.501,-115.445,8.032,22.487
,,,,,,,,,,,,,
ROA,-0.288921455,-0.102904782,-0.126161319,-0.212344253,-0.081432398,0.174136363,0.263314592,0.397154002,0.346718283,0.438117952,0.109969062,0.320710597,0.570780003
TotalAssets,"1,032,880,000","1,137,955,000","1,254,388,000","1,234,276,000","1,312,217,000","536,482,000","578,839,000","593,454,000","622,954,000","659,309,000","452,165,000","551,499,000","499,865,000"
"	CurrentAssets","118,214,000","130,594,000","193,981,000","118,918,000","134,531,000","98,772,000","129,578,000","135,780,000","166,048,000","271,863,000","73,168,000","163,126,000","101,417,000"
"		CashCashEquivalentsAndShortTermInvestments","30,559,000","36,994,000","61,776,000","49,173,000","55,595,000","49,967,000","79,914,000","85,142,000","127,848,000","236,975,000","42,745,000","5,440,000","9,075,000"
"			CashAndCashEquivalents","30,559,000","36,994,000","61,776,000","49,173,000","55,595,000","49,967,000","79,914,000","85,142,000","127,848,000","236,975,000","42,745,000","5,440,000","9,075,000"
"		Receivables","36,896,000","34,264,000","61,662,000","9,855,000","13,924,000","7,187,000","7,136,000","7,549,000","6,805,000","9,322,000","7,354,000","133,781,000","61,193,000"
"			AccountsReceivable","36,896,000","34,264,000","61,662,000","9,855,000","13,924,000","7,187,000","7,136,000","7,549,000","6,805,000","9,322,000","5,036,000","2,779,000","5,990,000"
"				GrossAccountsReceivable",,,,"9,883,000","13,970,000","7,214,000","7,170,000","7,599,000","6,889,000","9,398,000","5,079,000",,
"				AllowanceForDoubtfulAccountsReceivable",,,,"-28,000","-46,000","-27,000","-34,000","-50,000","-84,000","-76,000","-43,000",,
"			AccruedInterestReceivable",,,,,,,,,,,"2,318,000",,
"			DuefromRelatedPartiesCurrent",,,,,,,,,,,0,,
"			OtherReceivables",,,,,,,,,,,,"131,002,000","55,203,000"
"		Inventory","42,349,000","53,930,000","63,554,000","54,097,000","58,167,000","37,529,000","35,614,000","33,064,000","28,949,000","23,255,000","19,830,000","21,936,000","27,631,000"
"			RawMaterials","32,534,000","36,318,000","38,417,000","40,503,000","42,307,000","27,940,000","23,221,000","24,215,000","23,715,000","4,578,000","16,185,000",,
"			WorkInProcess",,,,,,,,,,"12,547,000",,,
"			FinishedGoods","9,815,000","17,612,000","25,137,000","13,594,000","15,860,000","9,589,000","12,393,000","8,849,000","5,234,000","6,130,000","3,645,000","6,624,000","7,699,000"
"			OtherInventories",,,,,,,,,,,,"15,312,000","19,932,000"
"		PrepaidAssets","8,410,000","5,406,000","6,989,000","5,793,000","6,845,000","4,089,000","6,914,000","10,025,000","2,446,000","2,311,000",,"1,969,000","3,518,000"
"		OtherCurrentAssets",,,,,,,,,,,"3,239,000",,
"	TotalNonCurrentAssets","914,666,000","1,007,361,000","1,060,407,000","1,115,358,000","1,177,686,000","437,710,000","449,261,000","457,674,000","456,906,000","387,446,000","378,997,000","388,373,000","398,448,000"
"		NetPPE","897,847,000","951,959,000","1,015,240,000","1,069,526,000","1,130,121,000","393,133,000","404,934,000","412,956,000","411,600,000","341,495,000","337,938,000","347,258,000","357,405,000"
"			GrossPPE","1,450,892,000","1,433,588,000","1,427,983,000","1,410,756,000","1,399,741,000","602,138,000","589,157,000","570,044,000","543,140,000","455,369,000","433,864,000","425,695,000","417,232,000"
"				Properties",0,0,0,0,0,0,0,0,0,0,0,0,0
"				LandAndImprovements","14,132,000","14,075,000","13,250,000","13,092,000","12,995,000","5,441,000","5,263,000","5,032,000","2,611,000","2,563,000","2,492,000","1,689,000","1,312,000"
"				BuildingsAndImprovements","17,598,000","17,221,000","17,116,000","16,990,000","14,881,000","3,049,000","2,266,000","2,191,000","1,223,000","815,000","724,000","650,000","650,000"
"				MachineryFurnitureEquipment","1,405,343,000","1,395,342,000","1,362,965,000","1,371,015,000","1,362,277,000","592,007,000","575,113,000","557,527,000","406,878,000","400,581,000","397,872,000","390,174,000","386,174,000"
"				OtherProperties","1,721,000","1,752,000","34,652,000",,,,,,,,,,
"				ConstructionInProgress","12,098,000","5,198,000",,"9,659,000","9,588,000","1,641,000","6,515,000","5,294,000","132,428,000","51,410,000","32,776,000","33,182,000","29,096,000"
"			AccumulatedDepreciation","-553,045,000","-481,629,000","-412,743,000","-341,230,000","-269,620,000","-209,005,000","-184,223,000","-157,088,000","-131,540,000","-113,874,000","-95,926,000","-78,437,000","-59,827,000"
"		GoodwillAndOtherIntangibleAssets",0,"40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,995,000","40,999,000","41,005,000","41,015,000","41,025,000","41,035,000"
"			Goodwill",0,"40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000"
"			OtherIntangibleAssets",,,,,,,,"26,000","30,000","36,000","46,000","56,000","66,000"
"		NonCurrentDeferredAssets",,,,,,,"272,000","1,236,000","2,200,000","3,164,000",,,
"		OtherNonCurrentAssets","16,819,000","14,433,000","4,198,000","4,863,000","6,596,000","3,608,000","3,086,000","2,487,000","2,107,000","1,782,000","44,000","90,000","8,000"
TotalLiabilitiesNetMinorityInterest,"718,639,000","718,411,000","754,562,000","684,423,000","687,310,000","150,930,000","164,908,000","153,533,000","176,761,000","169,820,000","49,962,000","31,615,000","41,057,000"
"	CurrentLiabilities","76,341,000","75,531,000","122,635,000","56,095,000","63,016,000","25,914,000","39,707,000","27,386,000","49,475,000","42,454,000","46,076,000","27,634,000","40,977,000"
"		PayablesAndAccruedExpenses","37,307,000","37,265,000","51,164,000","43,200,000","50,445,000","22,666,000","25,239,000","25,807,000","47,648,000","28,343,000","27,166,000","17,369,000","35,229,000"
"			Payables","24,761,000","23,647,000","29,765,000","25,011,000","30,557,000","12,474,000","14,123,000","18,510,000","41,215,000","22,894,000","24,783,000","7,476,000","21,572,000"
"				AccountsPayable","19,544,000","21,069,000","26,789,000","23,518,000","28,815,000","11,103,000","12,747,000","17,137,000","34,099,000","15,869,000","17,758,000","7,476,000","21,572,000"
"				TotalTaxPayable",,,,"1,493,000","1,742,000","1,371,000","1,376,000","1,373,000","7,116,000","7,025,000","7,025,000",,
"				DuetoRelatedPartiesCurrent","5,217,000","2,578,000","2,976,000",,,,,,,,,,
"			CurrentAccruedExpenses","12,546,000","13,618,000","21,399,000","18,189,000","19,888,000","10,192,000","11,116,000","7,297,000","6,433,000","5,449,000","2,383,000","9,893,000","13,657,000"
"				InterestPayable","2,506,000","2,518,000","2,516,000","2,683,000","2,683,000","458,000","458,000","458,000","500,000","885,000",,,
"		PensionandOtherPostRetirementBenefitPlansCurrent","442,000","5,011,000","2,667,000",,,,,,,,,,
"		CurrentDebtAndCapitalLeaseObligation","5,549,000","3,523,000",,,,,,,,,,,
"			CurrentDebt","2,240,000",,,,,,,,,,,,
"				OtherCurrentBorrowings","2,240,000",,,,,,,,,,,,
"			CurrentCapitalLeaseObligation","3,309,000","3,523,000",,,,,,,,,,,
"		CurrentDeferredLiabilities","30,828,000","28,118,000","68,804,000","12,895,000","12,571,000","3,129,000","13,613,000","696,000","965,000","9,019,000","18,660,000","10,265,000","5,748,000"
"			CurrentDeferredRevenue","30,828,000","28,118,000","68,804,000","12,895,000","12,571,000","3,129,000","13,613,000","696,000","965,000","9,019,000","18,660,000","10,265,000","5,748,000"
"		OtherCurrentLiabilities","2,215,000","1,614,000",,,,"119,000","855,000","883,000","862,000","5,092,000","250,000",,
"	TotalNonCurrentLiabilitiesNetMinorityInterest","642,298,000","642,880,000","631,927,000","628,328,000","624,294,000","125,016,000","125,201,000","126,147,000","127,286,000","127,366,000","3,886,000","3,981,000","80,000"
"		LongTermDebtAndCapitalLeaseObligation","633,942,000","632,406,000","628,989,000","625,904,000","623,107,000","125,000,000","125,000,000","125,000,000","125,000,000","125,000,000",,,
"			LongTermDebt","633,942,000","632,406,000","628,989,000","625,904,000","623,107,000","125,000,000","125,000,000","125,000,000","125,000,000","125,000,000",,,
"		OtherNonCurrentLiabilities","8,356,000","10,474,000","2,938,000","2,424,000","1,187,000","16,000","201,000","1,147,000","2,286,000","2,366,000",,,
TotalEquityGrossMinorityInterest,"314,241,000","419,544,000","499,826,000","549,853,000","624,907,000","385,552,000","413,931,000","439,921,000","446,193,000","489,489,000","402,203,000","519,884,000",
"	TotalPartnershipCapital","314,241,000","419,544,000","499,826,000","549,853,000","624,907,000","385,552,000","413,931,000","439,921,000","446,193,000","489,489,000","402,203,000","519,884,000","458,808,000"
"		LimitedPartnershipCapital","314,240,000","419,543,000",,"549,852,000","624,906,000","385,670,000","414,968,000","441,819,000","448,943,000",0,"398,000","516,000","455,000"
"		GeneralPartnershipCapital","1,000","1,000",,"1,000","1,000","1,000","1,000","1,000","1,000","491,877,000","401,805,000","519,368,000","458,353,000"
"	StockholdersEquity",0,0,0,0,0,0,0,0,0,0,0,0,
"		GainsLossesNotAffectingRetainedEarnings",,,,,0,"-119,000","-1,038,000","-1,899,000","-2,751,000","-2,388,000",,,
TotalCapitalization,"948,183,000","1,051,950,000","1,128,815,000","1,175,757,000","1,248,014,000","510,552,000","538,931,000","564,921,000","571,193,000","614,489,000","402,203,000","519,884,000","458,808,000"
CommonStockEquity,"314,241,000","419,544,000","499,826,000","549,853,000","624,907,000","385,552,000","413,931,000","439,921,000","446,193,000","489,489,000","402,203,000","519,884,000","458,808,000"
CapitalLeaseObligations,"3,309,000","3,523,000",,,,,,,,,,,
NetTangibleAssets,0,"-40,969,000","-40,969,000","-40,969,000","-40,969,000","-40,969,000","-40,969,000","-40,995,000","-40,999,000","-41,005,000","-41,015,000","-41,025,000","417,773,000"
WorkingCapital,"41,873,000","55,063,000","71,346,000","62,823,000","71,515,000","72,858,000","89,871,000","108,394,000","116,573,000","229,409,000","27,092,000","135,492,000","60,440,000"
InvestedCapital,"950,423,000","1,051,950,000","1,128,815,000","1,175,757,000","1,248,014,000","510,552,000","538,931,000","564,921,000","571,193,000","614,489,000","402,203,000","519,884,000","458,808,000"
TangibleBookValue,"314,241,000","378,575,000","458,857,000","508,884,000","583,938,000","344,583,000","372,962,000","398,926,000","405,194,000","448,484,000","361,188,000","478,859,000","417,773,000"
TotalDebt,"639,491,000","635,929,000","628,989,000","625,904,000","623,107,000","125,000,000","125,000,000","125,000,000","125,000,000","125,000,000",,,
NetDebt,"605,623,000","595,412,000","567,213,000","576,731,000","567,512,000","75,033,000","45,086,000","39,858,000",,,,,
ShareIssued,"10,705,710","11,328,297","11,328,297","11,328,297","11,328,297","7,312,826","7,312,299","7,311,295","7,306,514","7,303,093","7,300,000","7,300,000","7,300,000"
OrdinarySharesNumber,"10,705,710","11,328,297","11,328,297","11,328,297","11,328,297","7,312,826","7,312,299","7,311,295","7,306,514","7,303,093","7,300,000","7,300,000","7,300,000"
,,,,,,,,,,,,,
Operating Margin,0.019625153,0.077615426,0.019557563,-0.027865611,0.074943023,0.237657074,0.277243735,0.385733088,0.382912847,0.438601762,0.11279562,0.234500002,0.444217532
Net Margin,0.019056845,0.076147331,0.019095254,-0.027865611,0.074943023,0.237657074,0.277243735,0.385733088,0.382912847,0.438601762,0.11279562,0.234500002,0.444217532
Return On Equity,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Current Ratio,1.548499496,1.729011929,1.581775187,2.119939389,2.134870509,3.811530447,3.263354069,4.958007741,3.356200101,6.403707542,1.587985068,5.903090396,2.474973766
Quick ratio,0.993764818,1.015000463,1.063538142,1.155557536,1.211819221,2.363317126,2.36643413,3.750675528,2.771076301,5.855938192,1.157609167,5.109285663,1.800668668
ROC,-0.026670,0.026257,0.011076,-0.004936,0.010552,0.135017,0.099990,0.221080,0.203138,0.222106,0.050561,0.111358,#DIV/0!
D/E ratio,2.024503,1.507365,1.258416,1.138312,0.997120,0.324210,0.301983,0.284142,0.280148,0.255368,0.000000,0.000000,#DIV/0!
EPS,-9.170900,-3.086872,-4.416109,-6.425326,-2.377939,8.483998,10.413825,16.223665,15.359308,18.135741,4.562466,7.928493,16.292329
,,,,,,,,,,,,,
,,,,,,,,,,,,,